epoch	categorical_accuracy	loss	lr	mean_iou	precision_1	recall_1	val_categorical_accuracy	val_loss	val_mean_iou	val_precision_1	val_recall_1
0	0.7021349	0.2632449374005601	0.00033	0.3823297	0.6903848	0.8638723	0.5548015236854553	2.803065538406372	0.30164074897766113	0.5548015236854553	0.5548015236854553
1	0.7622313	0.14579348809815743	0.00033	0.4426035	0.75588405	0.92852914	0.9268276691436768	0.2590719163417816	0.5797028541564941	0.9268276691436768	0.926827609539032
2	0.76493573	0.11212277855422045	0.00033	0.46257415	0.75810087	0.93985045	0.947521984577179	0.1620211899280548	0.6446771621704102	0.947521984577179	0.947521984577179
3	0.7695226	0.09850768865765752	0.00033	0.47492564	0.7613294	0.94356054	0.9541395902633667	0.1277327984571457	0.7222370505332947	0.9541395902633667	0.9541395902633667
4	0.76624185	0.08005744873269184	0.00033	0.47844803	0.75848305	0.95003206	0.9709225296974182	0.09410098940134048	0.7440893054008484	0.9709225296974182	0.9709225296974182
5	0.775318	0.07740512329178888	0.00033	0.49017504	0.7699358	0.9505866	0.9755898714065552	0.07462213933467865	0.7979552149772644	0.9755898714065552	0.9755898714065552
6	0.78525275	0.06931338519663424	0.00033	0.50611275	0.7777572	0.9541366	0.959610641002655	0.10565043985843658	0.7545452117919922	0.959610641002655	0.959610641002655
7	0.7867417	0.06375786662101746	0.00033	0.50914764	0.7759683	0.95554477	0.977774441242218	0.05236343294382095	0.8218960165977478	0.9777745008468628	0.977774441242218
8	0.7843248	0.05723088959584365	0.00033	0.50583494	0.7733902	0.9582575	0.9807999730110168	0.04755835980176926	0.8399841785430908	0.9807999730110168	0.9807999730110168
9	0.80708313	0.058228461927658806	0.00033	0.5347998	0.7873074	0.9577038	0.9812358021736145	0.04751024395227432	0.8407266736030579	0.9812358021736145	0.9812358021736145
10	0.78549236	0.051477643384321314	0.00033	0.5127742	0.76885885	0.9598195	0.9819907546043396	0.061682332307100296	0.8433828353881836	0.9819907546043396	0.9819907546043396
11	0.790431	0.04960196273955139	0.00033	0.51527345	0.76946574	0.9610333	0.9840529561042786	0.045925647020339966	0.8526687622070312	0.9840529561042786	0.9840529561042786
12	0.79669064	0.048842034428506285	0.00033	0.5314094	0.7843344	0.9609448	0.983256995677948	0.04350981488823891	0.8408928513526917	0.983256995677948	0.983256995677948
13	0.79085463	0.045469079871435426	0.00033	0.5214575	0.7734442	0.9622731	0.9776957035064697	0.07053433358669281	0.8288691639900208	0.9776957035064697	0.9776957035064697
14	0.80538577	0.04392841876157232	0.00033	0.5420124	0.78389734	0.96316284	0.9856356382369995	0.04460519552230835	0.8734707236289978	0.9856356382369995	0.9856356382369995
15	0.7910162	0.04255883697722409	0.00033	0.5245452	0.77104783	0.96342576	0.9860607385635376	0.04549892991781235	0.8730807304382324	0.9860607385635376	0.9860607385635376
16	0.7922864	0.04011774339990036	0.00033	0.52319276	0.7700718	0.9647284	0.9871218800544739	0.032776109874248505	0.8828608393669128	0.9871218800544739	0.9871218800544739
17	0.79605407	0.0411672251852783	0.00033	0.53114754	0.7768409	0.96375626	0.9851817488670349	0.03173353150486946	0.8640405535697937	0.9851817488670349	0.9851817488670349
18	0.80512166	0.040418989100569	0.00033	0.538988	0.7769872	0.96399796	0.9852434992790222	0.030883321538567543	0.8647683262825012	0.9852434992790222	0.9852434992790222
19	0.8194316	0.03867161168238601	0.00033	0.5532313	0.78065664	0.9652043	0.9813445210456848	0.04564853757619858	0.8362764716148376	0.9813445210456848	0.9813445210456848
20	0.8033297	0.0384897581628851	0.00033	0.5361148	0.7749883	0.96533626	0.9854876399040222	0.03935584798455238	0.865370512008667	0.9854876399040222	0.9854876399040222
21	0.79525256	0.03648944022889073	0.00033	0.5312247	0.77164984	0.965936	0.9857824444770813	0.0536055751144886	0.8687085509300232	0.9857825040817261	0.9857824444770813
22	0.80632734	0.03838779359451822	0.00033	0.54456246	0.78160036	0.9650236	0.9843538999557495	0.03997408598661423	0.863440990447998	0.9843538999557495	0.9843538999557495
