	parameters
MODEL_NAME	Unet2d_Opt-RMSprop_Lr-0.00033_Epoch-100_Filt-64
VERBOSE	1
USE_BATCH_NORMALIZATION	True
DROPOUT_P	0.5
N_FILTERS	64
PATIENCE	5
LR_GAMMA	0.01
OPTIMIZER	RMSprop
LR	0.00033
CLASSIFIER_ACTIVATION	softmax
LOSS	<keras.losses.CategoricalCrossentropy object at 0x7fb48006e5c0>
METRICS	[<keras.metrics.Recall object at 0x7fb4800f7cf8>, <keras.metrics.Precision object at 0x7fb4800f7b00>, <keras.metrics.CategoricalAccuracy object at 0x7fb48006ed68>, <function mean_iou at 0x7fb5299937b8>]
NUM_CLASS	2
DATA_AUGMENTATION_ONLINE	True
IMAGE_SIZE	(256, 256)
BATCH_SIZE	20
MAX_EPOCH	100
VALIDATION_SIZE	0.25
TEST_SIZE	0.2
MODE	train
MODEL_TYPE	Unet2d
PARTITION_PATH	./dataset/subjects_partition.tsv
STORE_PATH	./models/
DATA_ROOT_PATH	/nvmescratch/jsaenz/UC09/
TEST-LOSS	0.08102728426456451
TEST-mIou	0.8412389755249023
TEST-ACC	0.9844147562980652
